"interaction_pairs","interaction","value","scram_mean","scram_sd","p_val","cell_type1","cell_type2","interact_ratio","p_val_adj"
"Endothelial_mCAF-patient4-specific","ADAM15_ITGA5",1.06850011082956,0.34931103515503,0.248568239069147,0.00190592405109247,"Endothelial","mCAF-patient4-specific",3.05887877362748,0.0491959021761882
"Macrophages-monocyte-derived_mCAF-patient4-specific","ADAM15_ITGA5",0.717793784676323,0.140129638387477,0.108908778044523,5.66119916500796e-08,"Macrophages-monocyte-derived","mCAF-patient4-specific",5.12235522003936,5.47300462017391e-06
"LumProgenitors-transitional-pat4_mCAF-patient4-specific","ADAM15_ITGA5",0.880692856403462,0.175865748285521,0.191431838152444,0.00011576481460962,"LumProgenitors-transitional-pat4","mCAF-patient4-specific",5.00775656993562,0.00499080565727893
"mCAF-patient4-specific_mCAF-patient4-specific","ADAM15_ITGA5",0.76767652662181,0.23802700207948,0.159237434964358,0.000440253494749188,"mCAF-patient4-specific","mCAF-patient4-specific",3.22516571613785,0.0152605504747651
"LumProgenitors-Cycl-pat4_Cancer-Basal/Cycl-pat4","ADAM15_ITGA9",0.386213673563291,0.139901863047847,0.0744720194471216,0.000470762712274642,"LumProgenitors-Cycl-pat4","Cancer-Basal/Cycl-pat4",2.76060422033983,0.0161323494587102
"Cancer-Basal/Plastic-pat4_iCAF-classical","ADAM15_ITGA9",0.377581068308989,0.141774610171218,0.0538268795599411,5.91137951222453e-06,"Cancer-Basal/Plastic-pat4","iCAF-classical",2.66324885572243,0.000372511017316626
"Cancer-Basal/Cycl-pat4_mCAF-classical","ADAM15_ITGA9",0.428453278192451,0.109806571613733,0.107364596383682,0.00149924016253133,"Cancer-Basal/Cycl-pat4","mCAF-classical",3.90189104254727,0.0408544855610751
"LumProgenitors-Cycl-pat4_Macrophages-immunoregulatory","ADAM15_ITGA9",0.43425474743529,0.150712921281541,0.0964680103434838,0.0016451354477639,"LumProgenitors-Cycl-pat4","Macrophages-immunoregulatory",2.88133720548138,0.0439120506942475
"Cancer-Basal/Cycl-pat4_Endothelial","ADAM15_ITGA9",0.583832240243734,0.152425052409731,0.106758657443457,2.6616713295291e-05,"Cancer-Basal/Cycl-pat4","Endothelial",3.83029056584704,0.00141815573060141
"Endothelial_pDCs","ADAM15_ITGA9",0.384286492853086,0.108970661714177,0.0870815738514025,0.000784564040452018,"Endothelial","pDCs",3.52651334595953,0.0244212266851054
